Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C5,CAPC1608X90N,8.3mm,11.7mm,8.3mm,11.7mm,8.3mm,12.55mm,T,270,approved sub OK
C6,CAPC1608X90N,8.3mm,15.2mm,8.3mm,15.2mm,8.3mm,16.05mm,T,270,approved sub OK
C2,CAPC1608X90N,6.2mm,11.7mm,6.2mm,11.7mm,6.2mm,10.85mm,B,90,approved sub OK
LED2,LED3535,12.5013mm,2.707mm,12.5mm,2.7mm,10.75mm,3.589mm,T,0,WS2812B3535
LED1,LED3535,12.4987mm,2.707mm,12.5mm,2.7mm,14.25mm,3.589mm,B,180,WS2812B3535
C1,CAPC2012X135N,18mm,19.9mm,18mm,19.9mm,18mm,19mm,B,90,approved sub OK
C3,CAPC1608X90N,18.8mm,13.7mm,18.8mm,13.7mm,18.8mm,12.85mm,B,90,approved sub OK
U2,NSE-5310,12.6055mm,12.4117mm,13.25mm,12.4mm,9.675mm,9.35mm,T,0,NSE-5310
P1,SM04B-SRSS-TB,12.75mm,21.85mm,14.25mm,19.9mm,13.25mm,19.9mm,B,90,JST-SH 4P
R1,RESC1608X55N,20.5mm,17.9mm,20.5mm,17.9mm,20.5mm,18.75mm,B,270,Thick Film
C4,CAPC1608X90N,18.8mm,10.4mm,18.8mm,10.4mm,18.8mm,9.55mm,B,90,approved sub OK
U1,32A_N,12.5mm,12.4mm,12.5mm,12.4mm,16.7mm,15.2mm,B,180,ATmega328-AU
